DATE,TEMP,PRICE,SALES,COUPON,HOLIDAY
11/11/2016,65.45,5.99,209,0,1
10/22/14,62.1,5.99,166,0,0
2/8/2014,57.9,5.99,221,0,0
7/6/2013,62.55,5.99,142,0,0
3/5/2016,61,5.99,263,0,0
7/2/2015,68,5.99,179,0,0
6/17/11,59.55,5.99,135,0,0
3/13/12,55.2,5.99,151,0,0
11/16/10,60,5.79,145,0,0
11/25/12,50,5.99,199,0,0
7/7/2013,60.55,5.99,190,0,0
6/18/11,61,5.99,116,0,0
7/3/2015,66,5.99,204,0,1
11/17/10,56.45,5.79,107,0,0
11/12/2016,61,5.99,248,0,0
10/23/14,61,5.99,122,0,0
3/14/12,57,5.99,168,0,0
2/9/2014,59,5.99,218,0,0
11/26/12,51.1,5.99,156,0,0
3/6/2016,55,5.99,314,0,0
7/4/2015,,,,,1
7/8/2013,63.5,5.99,198,0,0
6/19/11,71.1,5.99,131,0,0
3/15/12,59,5.99,131,0,0
11/18/10,51.1,5.79,94,0,0
11/27/12,54,5.99,126,0,0
7/5/2015,63,5.99,216,0,0
11/13/16,55.9,5.99,263,0,0
6/20/11,77,5.99,132,0,0
3/16/12,57.2,5.99,151,0,0
7/9/2013,65.45,5.99,146,0,0
2/10/2014,55.9,5.99,219,0,0
10/24/14,61,5.99,131,0,0
11/19/10,53.1,5.79,89,0,0
11/28/12,57.55,5.99,125,0,0
3/7/2016,51.1,5.99,332,0,0
7/6/2015,66.2,5.99,250,0,0
6/21/11,76.55,5.99,91,0,0
3/17/12,46.9,5.99,171,0,0
7/10/2013,62.6,5.99,130,0,0
11/20/10,48.2,5.79,142,0,0
11/29/12,60.1,5.99,125,0,0
11/14/16,59,5.99,262,0,0
7/7/2015,66,5.99,178,0,0
2/11/2014,51.45,5.99,187,0,0
10/25/14,63,5.99,187,0,0
3/18/12,46,5.99,259,0,0
6/22/11,66,5.99,103,0,0
3/8/2016,53.55,5.99,247,0,0
11/21/10,48,5.79,149,0,0
7/11/2013,61,5.99,173,0,0
11/30/12,60.8,5.99,141,0,0
7/8/2015,62.6,5.99,177,0,0
6/23/11,63,5.99,102,0,0
11/22/10,52.55,5.79,134,0,0
3/19/12,51.55,5.99,185,0,0
11/15/16,59,5.99,198,0,0
12/1/2012,60.45,5.99,199,0,0
7/12/2013,63.5,5.99,127,0,0
10/26/14,55.9,5.99,235,0,0
7/9/2015,64,5.99,206,0,0
2/12/2014,52,5.99,179,0,0
6/24/11,60.1,5.99,116,0,0
3/9/2016,60.1,5.99,218,0,0
11/23/10,50,5.79,113,0,0
3/20/12,55,5.99,134,0,0
12/2/2012,59,5.99,220,0,0
7/10/2015,64.45,5.99,168,0,0
7/13/13,65.9,5.99,124,0,0
3/21/12,55.9,5.99,152,0,0
11/24/10,41.55,5.79,52,0,0
11/16/16,55.45,5.99,168,0,0
12/3/2012,55.2,5.99,184,0,0
6/25/11,58.45,5.99,120,0,0
10/27/14,56.45,5.99,198,0,0
2/13/14,51.8,5.99,159,0,0
3/10/2016,63,5.99,246,0,0
11/25/10,,,,,1
7/11/2015,64.45,5.99,194,0,0
7/14/13,61,5.99,179,0,0
3/22/12,54,5.99,128,0,0
6/26/11,61.1,5.99,136,0,0
12/4/2012,59,5.99,167,0,0
11/26/10,46,5.79,93,0,0
7/12/2015,66.45,5.99,202,0,0
11/17/16,51.55,5.99,196,0,0
2/14/14,56.45,5.99,140,0,0
6/27/11,63.05,5.99,129,0,0
7/15/13,59,5.99,159,0,0
12/5/2012,60.8,5.99,138,0,0
10/28/14,59,5.99,147,0,0
3/23/12,52.55,5.99,137,0,0
3/11/2016,55.9,5.99,204,0,0
11/27/10,48,5.79,124,0,0
7/13/15,66,5.99,208,0,0
6/28/11,62.6,5.99,119,0,0
3/24/12,46.9,5.99,173,0,0
7/16/13,60.9,5.99,154,0,0
12/6/2012,57,5.99,166,0,0
11/28/10,43.55,5.79,161,0,0
11/18/16,57.9,5.99,194,0,0
7/14/15,62.8,5.99,187,0,0
10/29/14,62.1,5.99,139,0,0
2/15/14,57.2,5.99,170,0,1
6/29/11,61,5.99,113,0,0
3/25/12,45,5.99,202,0,0
3/12/2016,55.9,5.99,270,0,0
12/7/2012,51.1,5.99,151,0,0
7/17/13,61,5.99,162,0,0
11/29/10,42.55,5.79,115,0,0
7/15/15,64.9,5.99,184,0,0
6/30/11,63.95,5.99,137,0,0
3/26/12,52,5.99,157,0,0
11/19/16,57.9,5.99,235,0,0
11/30/10,45,5.79,91,0,0
7/18/13,61,5.99,175,0,0
2/16/14,54,5.99,216,0,0
10/30/14,62.1,5.99,151,0,0
7/16/15,64,5.99,174,0,0
12/8/2012,48.55,5.99,228,0,0
3/13/16,57,5.99,287,0,0
7/1/2011,72,5.99,124,0,0
3/27/12,54,5.99,161,0,0
12/1/2010,46.45,5.79,95,0,0
7/19/13,61.45,5.99,140,0,0
7/17/15,64.9,5.99,157,0,0
11/20/16,57,5.99,240,0,0
12/9/2012,58.45,5.99,255,0,0
3/28/12,55.9,5.99,152,0,0
12/2/2010,53.1,5.79,98,0,0
7/2/2011,69.8,5.99,94,0,0
10/31/14,56.55,5.99,123,0,0
2/17/14,50.45,5.99,200,0,1
7/20/13,61.55,5.99,171,0,0
3/14/16,55.9,5.99,257,0,0
7/18/15,66.9,5.99,167,0,0
3/29/12,57,5.99,161,0,0
12/10/2012,54,5.99,200,0,0
12/3/2010,52,5.79,94,0,0
7/3/2011,71.5,5.99,139,0,0
11/21/16,53.6,5.99,274,0,0
7/21/13,64,5.99,183,0,0
7/4/2011,,,,,1
11/1/2014,53.1,5.99,243,0,0
2/18/14,53.1,5.99,191,0,0
7/19/15,72.5,5.99,219,0,0
12/11/2012,53.1,5.99,148,0,0
3/30/12,59.55,5.99,144,0,0
12/4/2010,55.9,5.79,143,0,0
7/22/13,67.45,5.99,187,0,0
7/5/2011,72.95,5.99,156,0,0
3/15/16,53.55,5.99,224,0,0
11/22/16,52.55,5.99,246,0,0
7/20/15,72,5.99,217,0,0
12/5/2010,55,5.79,162,0,0
3/31/12,56.45,5.99,204,0,1
12/12/2012,50,5.99,149,0,0
7/23/13,67.45,5.99,126,0,0
7/6/2011,69.55,5.99,106,0,0
2/19/14,53.1,5.99,154,0,0
11/2/2014,53.55,5.99,246,0,0
7/21/15,64,5.99,185,0,0
11/23/16,53.1,5.99,270,0,0
4/1/2012,51.7,5.99,234,0,0
3/16/16,59,5.99,191,0,0
12/6/2010,54.5,5.79,159,0,0
12/13/12,44.6,5.99,134,0,0
7/24/13,69,5.99,147,0,0
7/7/2011,66.9,5.99,113,0,0
7/22/15,63,5.99,163,0,0
